Receive ID,rx_x,rx_y,rx_z
251,320.728,159.826,2
252,336.728,159.826,2
253,352.728,159.826,2
254,0.727801,175.826,2
255,16.7278,175.826,2
256,32.7278,175.826,2
257,48.7278,175.826,2
258,64.7278,175.826,2
259,80.7278,175.826,2
260,96.7278,175.826,2
261,112.728,175.826,2
262,128.728,175.826,2
263,144.728,175.826,2
264,160.728,175.826,2
265,176.728,175.826,2
266,192.728,175.826,2
267,208.728,175.826,2
268,224.728,175.826,2
269,240.728,175.826,2
270,256.728,175.826,2
271,272.728,175.826,2
272,288.728,175.826,2
273,304.728,175.826,2
274,320.728,175.826,2
275,336.728,175.826,2
276,352.728,175.826,2
277,0.727801,191.826,2
278,16.7278,191.826,2
279,32.7278,191.826,2
280,48.7278,191.826,2
281,64.7278,191.826,2
282,80.7278,191.826,2
283,96.7278,191.826,2
284,112.728,191.826,2
285,128.728,191.826,2
286,144.728,191.826,2
287,160.728,191.826,2
288,176.728,191.826,2
289,192.728,191.826,2
290,208.728,191.826,2
291,224.728,191.826,2
292,240.728,191.826,2
293,256.728,191.826,2
294,272.728,191.826,2
295,288.728,191.826,2
296,304.728,191.826,2
297,320.728,191.826,2
298,336.728,191.826,2
299,352.728,191.826,2
300,0.727801,207.826,2
301,16.7278,207.826,2
302,32.7278,207.826,2
303,48.7278,207.826,2
304,64.7278,207.826,2
305,80.7278,207.826,2
306,96.7278,207.826,2
307,112.728,207.826,2
308,128.728,207.826,2
309,144.728,207.826,2
310,160.728,207.826,2
311,176.728,207.826,2
312,192.728,207.826,2
313,208.728,207.826,2
314,224.728,207.826,2
315,240.728,207.826,2
316,256.728,207.826,2
317,272.728,207.826,2
318,288.728,207.826,2
319,304.728,207.826,2
320,320.728,207.826,2
321,336.728,207.826,2
322,352.728,207.826,2
323,0.727801,223.826,2
324,16.7278,223.826,2
325,32.7278,223.826,2
326,48.7278,223.826,2
327,64.7278,223.826,2
328,80.7278,223.826,2
329,96.7278,223.826,2
330,112.728,223.826,2
331,128.728,223.826,2
332,144.728,223.826,2
333,160.728,223.826,2
334,176.728,223.826,2
335,192.728,223.826,2
336,208.728,223.826,2
337,224.728,223.826,2
338,240.728,223.826,2
339,256.728,223.826,2
340,272.728,223.826,2
341,288.728,223.826,2
342,304.728,223.826,2
343,320.728,223.826,2
344,336.728,223.826,2
345,352.728,223.826,2
346,0.727801,239.826,2
347,16.7278,239.826,2
348,32.7278,239.826,2
349,48.7278,239.826,2
350,64.7278,239.826,2
351,80.7278,239.826,2
352,96.7278,239.826,2
353,112.728,239.826,2
354,128.728,239.826,2
355,144.728,239.826,2
356,160.728,239.826,2
357,176.728,239.826,2
358,192.728,239.826,2
359,208.728,239.826,2
360,224.728,239.826,2
361,240.728,239.826,2
362,256.728,239.826,2
363,272.728,239.826,2
364,288.728,239.826,2
365,304.728,239.826,2
366,320.728,239.826,2
367,336.728,239.826,2
368,352.728,239.826,2
369,0.727801,255.826,2
370,16.7278,255.826,2
371,32.7278,255.826,2
372,48.7278,255.826,2
373,64.7278,255.826,2
374,80.7278,255.826,2
375,96.7278,255.826,2
376,112.728,255.826,2
377,128.728,255.826,2
378,144.728,255.826,2
379,160.728,255.826,2
380,176.728,255.826,2
381,192.728,255.826,2
382,208.728,255.826,2
383,224.728,255.826,2
384,240.728,255.826,2
385,256.728,255.826,2
386,272.728,255.826,2
387,288.728,255.826,2
388,304.728,255.826,2
389,320.728,255.826,2
390,336.728,255.826,2
391,352.728,255.826,2
392,0.727801,271.826,2
393,16.7278,271.826,2
394,32.7278,271.826,2
395,48.7278,271.826,2
396,64.7278,271.826,2
397,80.7278,271.826,2
398,96.7278,271.826,2
399,112.728,271.826,2
400,128.728,271.826,2
401,144.728,271.826,2
402,160.728,271.826,2
403,176.728,271.826,2
404,192.728,271.826,2
405,208.728,271.826,2
406,224.728,271.826,2
407,240.728,271.826,2
408,256.728,271.826,2
409,272.728,271.826,2
410,288.728,271.826,2
411,304.728,271.826,2
412,320.728,271.826,2
413,336.728,271.826,2
414,352.728,271.826,2
415,0.727801,287.826,2
416,16.7278,287.826,2
417,32.7278,287.826,2
418,48.7278,287.826,2
419,64.7278,287.826,2
420,80.7278,287.826,2
421,96.7278,287.826,2
422,112.728,287.826,2
423,128.728,287.826,2
424,144.728,287.826,2
425,160.728,287.826,2
426,176.728,287.826,2
427,192.728,287.826,2
428,208.728,287.826,2
429,224.728,287.826,2
430,240.728,287.826,2
431,256.728,287.826,2
432,272.728,287.826,2
433,288.728,287.826,2
434,304.728,287.826,2
435,320.728,287.826,2
436,336.728,287.826,2
437,352.728,287.826,2
438,0.727801,303.826,2
439,16.7278,303.826,2
440,32.7278,303.826,2
441,48.7278,303.826,2
442,64.7278,303.826,2
443,80.7278,303.826,2
444,96.7278,303.826,2
445,112.728,303.826,2
446,128.728,303.826,2
447,144.728,303.826,2
448,160.728,303.826,2
449,176.728,303.826,2
450,192.728,303.826,2
451,208.728,303.826,2
452,224.728,303.826,2
453,240.728,303.826,2
454,256.728,303.826,2
455,272.728,303.826,2
456,288.728,303.826,2
457,304.728,303.826,2
458,320.728,303.826,2
459,336.728,303.826,2
460,352.728,303.826,2
461,0.727801,319.826,2
462,16.7278,319.826,2
463,32.7278,319.826,2
464,48.7278,319.826,2
465,64.7278,319.826,2
466,80.7278,319.826,2
467,96.7278,319.826,2
468,112.728,319.826,2
469,128.728,319.826,2
470,144.728,319.826,2
471,160.728,319.826,2
472,176.728,319.826,2
473,192.728,319.826,2
474,208.728,319.826,2
475,224.728,319.826,2
476,240.728,319.826,2
477,256.728,319.826,2
478,272.728,319.826,2
479,288.728,319.826,2
480,304.728,319.826,2
481,320.728,319.826,2
482,336.728,319.826,2
483,352.728,319.826,2
484,0.727801,335.826,2
485,16.7278,335.826,2
486,32.7278,335.826,2
487,48.7278,335.826,2
488,64.7278,335.826,2
489,80.7278,335.826,2
490,96.7278,335.826,2
491,112.728,335.826,2
492,128.728,335.826,2
493,144.728,335.826,2
494,160.728,335.826,2
495,176.728,335.826,2
496,192.728,335.826,2
497,208.728,335.826,2
498,224.728,335.826,2
499,240.728,335.826,2
500,256.728,335.826,2
501,272.728,335.826,2
502,288.728,335.826,2
503,304.728,335.826,2
504,320.728,335.826,2
505,336.728,335.826,2
506,352.728,335.826,2
507,0.727801,351.826,2
508,16.7278,351.826,2
509,32.7278,351.826,2
510,48.7278,351.826,2
511,64.7278,351.826,2
512,80.7278,351.826,2
513,96.7278,351.826,2
514,112.728,351.826,2
515,128.728,351.826,2
516,144.728,351.826,2
517,160.728,351.826,2
518,176.728,351.826,2
519,192.728,351.826,2
520,208.728,351.826,2
521,224.728,351.826,2
522,240.728,351.826,2
523,256.728,351.826,2
524,272.728,351.826,2
525,288.728,351.826,2
526,304.728,351.826,2
527,320.728,351.826,2
528,336.728,351.826,2
529,352.728,351.826,2
530,0.727801,367.826,2
531,16.7278,367.826,2
532,32.7278,367.826,2
533,48.7278,367.826,2
534,64.7278,367.826,2
535,80.7278,367.826,2
536,96.7278,367.826,2
537,112.728,367.826,2
538,128.728,367.826,2
539,144.728,367.826,2
540,160.728,367.826,2
541,176.728,367.826,2
542,192.728,367.826,2
543,208.728,367.826,2
544,224.728,367.826,2
545,240.728,367.826,2
546,256.728,367.826,2
547,272.728,367.826,2
548,288.728,367.826,2
549,304.728,367.826,2
550,320.728,367.826,2
551,336.728,367.826,2
552,352.728,367.826,2
553,0.727801,383.826,2
554,16.7278,383.826,2
555,32.7278,383.826,2
556,48.7278,383.826,2
557,64.7278,383.826,2
558,80.7278,383.826,2
559,96.7278,383.826,2
560,112.728,383.826,2
561,128.728,383.826,2
562,144.728,383.826,2
563,160.728,383.826,2
564,176.728,383.826,2
565,192.728,383.826,2
566,208.728,383.826,2
567,224.728,383.826,2
568,240.728,383.826,2
569,256.728,383.826,2
570,272.728,383.826,2
571,288.728,383.826,2
572,304.728,383.826,2
573,320.728,383.826,2
574,336.728,383.826,2
575,352.728,383.826,2
